Name	Topic	Year	Value	
AAV	Total Revenues	2016	33,130.30
AAV	Total Revenues	2015	30,463.58
AAV	Total Revenues	2014	26,275.30
AAV	COGs	3M/2017	7,569.21
AAV	COGs	3M/2016	6,467.06
AAV	COGs	2016	26,687.76
AAV	COGs	2015	25,315.08
AAV	COGs	2014	23,707.65
AAV	SG&amp;A	3M/2017	747.16
AAV	SG&amp;A	3M/2016	663.49
AAV	SG&amp;A	2016	2,636.08
AAV	SG&amp;A	2015	2,377.36
AAV	SG&amp;A	2014	1,924.90
AAV	Net Profit	3M/2017	570.32
AAV	Net Profit	3M/2016	1,009.08
AAV	Net Profit	2016	1,869.46
AAV	Net Profit	2015	1,078.48
AAV	Net Profit	2014	183.18
AAV	EPS (B.)	3M/2017	0.12
AAV	EPS (B.)	3M/2016	0.21
AAV	EPS (B.)	2016	0.39
AAV	EPS (B.)	2015	0.22
AAV	EPS (B.)	2014	0.04
AAV	Operating Cash Flow	3M/2017	1,459.55
AAV	Operating Cash Flow	3M/2016	2,361.18
AAV	Operating Cash Flow	2016	4,381.56
AAV	Operating Cash Flow	2015	3,007.27
AAV	Operating Cash Flow	2014	1,848.96
AAV	Investing Cash Flow	3M/2017	-339.09
AAV	Investing Cash Flow	3M/2016	-470.57
AAV	Investing Cash Flow	2016	-2,785.59
AAV	Investing Cash Flow	2015	882.78
AAV	Investing Cash Flow	2014	2,025.37
AAV	Financing Cash Flow	3M/2017	-593.94
AAV	Financing Cash Flow	3M/2016	-443.02
AAV	Financing Cash Flow	2016	-3,098.13
AAV	Financing Cash Flow	2015	-2,529.05
AAV	Financing Cash Flow	2014	-1,030.76
AAV	D/E (X)	3M/2017	1.26
AAV	D/E (X)	3M/2016	1.16
AAV	D/E (X)	2016	1.24
AAV	D/E (X)	2015	1.23
AAV	Gross Profit Margin (%)	3M/2017	17.28
AAV	Gross Profit Margin (%)	3M/2016	27.76
AAV	Gross Profit Margin (%)	2016	17.63
AAV	Gross Profit Margin (%)	2015	14.21
AAV	Net Profit Margin (%)	3M/2017	5.97
AAV	Net Profit Margin (%)	3M/2016	10.99
AAV	Net Profit Margin (%)	2016	5.64
AAV	Net Profit Margin (%)	2015	3.54
2S	Market Cap (MB.)	09 Jun 2017	2,320.00
2S	Market Cap (MB.)	2016	2,055.00
2S	Market Cap (MB.)	2015	774.00
2S	Price (B./share)	09 Jun 2017	5.80
2S	Price (B./share)	2016	5.14
2S	Price (B./share)	2015	1.94
2S	P/E (X)	09 Jun 2017	6.79
2S	P/E (X)	2016	7.53
2S	P/E (X)	2015	48.55
2S	Dividend Yield (%)	09 Jun 2017	2.33
2S	Dividend Yield (%)	2016	1.46
2S	Dividend Yield (%)	2015	3.88
A	Market Cap (MB.)	09 Jun 2017	6,419.00
A	Market Cap (MB.)	2016	6,174.00
A	Market Cap (MB.)	2015	5,978.00
A	Price (B./share)	09 Jun 2017	6.55
A	Price (B./share)	2016	6.30
A	Price (B./share)	2015	6.10
A	P/E (X)	09 Jun 2017	27.94
A	P/E (X)	2016	23.29
A	P/E (X)	2015	28.03
A	Dividend Yield (%)	09 Jun 2017	0.76
A	Dividend Yield (%)	2016	0.63
A	Dividend Yield (%)	2015	N/A
AAV	Market Cap (MB.)	09 Jun 2017	30,312.50
AAV	Market Cap (MB.)	2016	29,342.50
AAV	Market Cap (MB.)	2015	25,462.50
AAV	Price (B./share)	09 Jun 2017	6.25
AAV	Price (B./share)	2016	6.05
AAV	Price (B./share)	2015	5.25
AAV	P/E (X)	09 Jun 2017	21.19
AAV	P/E (X)	2016	13.95
AAV	P/E (X)	2015	20.64
AAV	Dividend Yield (%)	09 Jun 2017	2.40
AAV	Dividend Yield (%)	2016	1.65
AAV	Dividend Yield (%)	2015	N/A
ABC	Market Cap (MB.)	09 Jun 2017	1,580.40
ABC	Market Cap (MB.)	2016	2,686.68
ABC	Market Cap (MB.)	2015	3,634.92
ABC	Price (B./share)	09 Jun 2017	0.20
ABC	Price (B./share)	2016	0.34
ABC	Price (B./share)	2015	0.46
ABC	P/E (X)	09 Jun 2017	N/A
ABC	P/E (X)	2016	N/A
ABC	P/E (X)	2015	N/A
ABC	Dividend Yield (%)	09 Jun 2017	N/A
ABC	Dividend Yield (%)	2016	N/A
ABC	Dividend Yield (%)	2015	N/A
ABICO	Market Cap (MB.)	09 Jun 2017	2,514.50
ABICO	Market Cap (MB.)	2016	3,266.50
ABICO	Market Cap (MB.)	2015	1,786.00
ABICO	Price (B./share)	09 Jun 2017	10.70
ABICO	Price (B./share)	2016	13.90
ABICO	Price (B./share)	2015	7.60
ABICO	P/E (X)	09 Jun 2017	16.86
ABICO	P/E (X)	2016	22.59
ABICO	P/E (X)	2015	20.13
ABICO	Dividend Yield (%)	09 Jun 2017	0.70
ABICO	Dividend Yield (%)	2016	0.36
ABICO	Dividend Yield (%)	2015	0.66
ABPIF	Market Cap (MB.)	09 Jun 2017	5,220.00
ABPIF	Market Cap (MB.)	2016	5,010.00
ABPIF	Market Cap (MB.)	2015	4,890.00
ABPIF	Price (B./share)	09 Jun 2017	8.70
ABPIF	Price (B./share)	2016	8.35
ABPIF	Price (B./share)	2015	8.15
ABPIF	P/E (X)	09 Jun 2017	-
ABPIF	P/E (X)	2016	-
ABPIF	P/E (X)	2015	-
ABPIF	Dividend Yield (%)	09 Jun 2017	10.45
ABPIF	Dividend Yield (%)	2016	6.78
ABPIF	Dividend Yield (%)	2015	7.75
ACAP	Market Cap (MB.)	09 Jun 2017	6,063.32
ACAP	Market Cap (MB.)	2016	6,642.23
ACAP	Market Cap (MB.)	2015	1,762.50
ACAP	Price (B./share)	09 Jun 2017	19.90
ACAP	Price (B./share)	2016	21.80
ACAP	Price (B./share)	2015	7.05
ACAP	P/E (X)	09 Jun 2017	26.23
ACAP	P/E (X)	2016	61.16
ACAP	P/E (X)	2015	N/A
ACAP	Dividend Yield (%)	09 Jun 2017	N/A
ACAP	Dividend Yield (%)	2016	N/A
ACAP	Dividend Yield (%)	2015	N/A
ACC	Market Cap (MB.)	09 Jun 2017	660.00
ACC	Market Cap (MB.)	2016	828.00
ACC	Market Cap (MB.)	2015	1,200.00
ACC	Price (B./share)	09 Jun 2017	0.55
ACC	Price (B./share)	2016	0.69
ACC	Price (B./share)	2015	1.00
ACC	P/E (X)	09 Jun 2017	N/A
ACC	P/E (X)	2016	181.00
ACC	P/E (X)	2015	N/A
ACC	Dividend Yield (%)	09 Jun 2017	N/A
ACC	Dividend Yield (%)	2016	N/A
ACC	Dividend Yield (%)	2015	N/A
ADAM	Market Cap (MB.)	09 Jun 2017	-
ADAM	Market Cap (MB.)	2016	-
ADAM	Market Cap (MB.)	2015	-
ADAM	Price (B./share)	09 Jun 2017	14.00
ADAM	Price (B./share)	2016	14.00
ADAM	Price (B./share)	2015	14.00
ADAM	P/E (X)	09 Jun 2017	-
ADAM	P/E (X)	2016	-
ADAM	P/E (X)	2015	-
ADAM	Dividend Yield (%)	09 Jun 2017	-
ADAM	Dividend Yield (%)	2016	-
ADAM	Dividend Yield (%)	2015	-
ADVANC	Market Cap (MB.)	09 Jun 2017	515,832.04
ADVANC	Market Cap (MB.)	2016	437,045.01
ADVANC	Market Cap (MB.)	2015	451,910.49
ADVANC	Price (B./share)	09 Jun 2017	173.50
ADVANC	Price (B./share)	2016	147.00
ADVANC	Price (B./share)	2015	152.00
ADVANC	P/E (X)	09 Jun 2017	17.03
ADVANC	P/E (X)	2016	12.49
ADVANC	P/E (X)	2015	12.06
ADVANC	Dividend Yield (%)	09 Jun 2017	5.81
ADVANC	Dividend Yield (%)	2016	8.84
ADVANC	Dividend Yield (%)	2015	7.89
AEC	Market Cap (MB.)	09 Jun 2017	734.55
AEC	Market Cap (MB.)	2016	697.82
AEC	Market Cap (MB.)	2015	501.94
AEC	Price (B./share)	09 Jun 2017	0.60
AEC	Price (B./share)	2016	0.57
AEC	Price (B./share)	2015	0.41
AEC	P/E (X)	09 Jun 2017	N/A
AEC	P/E (X)	2016	N/A
AEC	P/E (X)	2015	N/A
AEC	Dividend Yield (%)	09 Jun 2017	N/A
AEC	Dividend Yield (%)	2016	N/A
AEC	Dividend Yield (%)	2015	N/A
AEONTS	Market Cap (MB.)	09 Jun 2017	27,750.00
AEONTS	Market Cap (MB.)	2016	25,875.00
AEONTS	Market Cap (MB.)	2015	24,062.50
AEONTS	Price (B./share)	09 Jun 2017	111.00
AEONTS	Price (B./share)	2016	103.50
AEONTS	Price (B./share)	2015	96.25
AEONTS	P/E (X)	09 Jun 2017	11.55
AEONTS	P/E (X)	2016	11.90
AEONTS	P/E (X)	2015	10.06
AEONTS	Dividend Yield (%)	09 Jun 2017	3.11
AEONTS	Dividend Yield (%)	2016	3.33
AEONTS	Dividend Yield (%)	2015	3.58
AF	Market Cap (MB.)	09 Jun 2017	1,232.00
AF	Market Cap (MB.)	2016	880.00
AF	Market Cap (MB.)	2015	832.00
AF	Price (B./share)	09 Jun 2017	0.77
AF	Price (B./share)	2016	0.55
AF	Price (B./share)	2015	0.52
AF	P/E (X)	09 Jun 2017	27.18
AF	P/E (X)	2016	17.83
AF	P/E (X)	2015	64.35
AF	Dividend Yield (%)	09 Jun 2017	6.88
AF	Dividend Yield (%)	2016	1.82
AF	Dividend Yield (%)	2015	2.40
AFC	Market Cap (MB.)	09 Jun 2017	410.17
AFC	Market Cap (MB.)	2016	364.59
AFC	Market Cap (MB.)	2015	394.22
AFC	Price (B./share)	09 Jun 2017	9.00
AFC	Price (B./share)	2016	8.00
AFC	Price (B./share)	2015	8.65
AFC	P/E (X)	09 Jun 2017	40.64
AFC	P/E (X)	2016	N/A
AFC	P/E (X)	2015	N/A
AFC	Dividend Yield (%)	09 Jun 2017	N/A
AFC	Dividend Yield (%)	2016	N/A
AFC	Dividend Yield (%)	2015	N/A
AGE	Market Cap (MB.)	09 Jun 2017	2,241.44
AGE	Market Cap (MB.)	2016	2,554.58
AGE	Market Cap (MB.)	2015	2,076.63
AGE	Price (B./share)	09 Jun 2017	1.36
AGE	Price (B./share)	2016	1.55
AGE	Price (B./share)	2015	1.26
AGE	P/E (X)	09 Jun 2017	14.90
AGE	P/E (X)	2016	40.06
AGE	P/E (X)	2015	72.54
AGE	Dividend Yield (%)	09 Jun 2017	5.15
AGE	Dividend Yield (%)	2016	3.23
AGE	Dividend Yield (%)	2015	0.14
AH	Market Cap (MB.)	09 Jun 2017	7,903.30
AH	Market Cap (MB.)	2016	5,161.34
AH	Market Cap (MB.)	2015	3,387.13
AH	Price (B./share)	09 Jun 2017	24.50
AH	Price (B./share)	2016	16.00
AH	Price (B./share)	2015	10.50
AH	P/E (X)	09 Jun 2017	12.49
AH	P/E (X)	2016	10.58
AH	P/E (X)	2015	12.74
AH	Dividend Yield (%)	09 Jun 2017	2.70
AH	Dividend Yield (%)	2016	1.91
AH	Dividend Yield (%)	2015	2.86
AHC	Market Cap (MB.)	09 Jun 2017	4,872.05
AHC	Market Cap (MB.)	2016	5,359.26
AHC	Market Cap (MB.)	2015	5,321.78
AHC	Price (B./share)	09 Jun 2017	32.50
AHC	Price (B./share)	2016	35.75
AHC	Price (B./share)	2015	35.50
AHC	P/E (X)	09 Jun 2017	31.58
AHC	P/E (X)	2016	28.63
AHC	P/E (X)	2015	33.06
AHC	Dividend Yield (%)	09 Jun 2017	1.94
AHC	Dividend Yield (%)	2016	1.54
AHC	Dividend Yield (%)	2015	1.83
AI	Market Cap (MB.)	09 Jun 2017	-
AI	Market Cap (MB.)	2016	-
AI	Market Cap (MB.)	2015	3,040.00
AI	Price (B./share)	09 Jun 2017	1.52
AI	Price (B./share)	2016	1.52
AI	Price (B./share)	2015	1.52
AI	P/E (X)	09 Jun 2017	-
AI	P/E (X)	2016	-
AI	P/E (X)	2015	14.58
AI	Dividend Yield (%)	09 Jun 2017	-
AI	Dividend Yield (%)	2016	-
AI	Dividend Yield (%)	2015	1.70
AIE	Market Cap (MB.)	09 Jun 2017	-
AIE	Market Cap (MB.)	2016	-
AIE	Market Cap (MB.)	2015	3,028.40
AIE	Price (B./share)	09 Jun 2017	0.67
AIE	Price (B./share)	2016	0.67
AIE	Price (B./share)	2015	0.67
AIE	P/E (X)	09 Jun 2017	-
AIE	P/E (X)	2016	-
AIE	P/E (X)	2015	31.26
AIE	Dividend Yield (%)	09 Jun 2017	-
AIE	Dividend Yield (%)	2016	-
AIE	Dividend Yield (%)	2015	N/A
AIRA	Market Cap (MB.)	09 Jun 2017	14,804.73
AIRA	Market Cap (MB.)	2016	14,683.14
AIRA	Market Cap (MB.)	2015	12,422.68
AIRA	Price (B./share)	09 Jun 2017	2.46
AIRA	Price (B./share)	2016	2.60
AIRA	Price (B./share)	2015	2.26
AIRA	P/E (X)	09 Jun 2017	N/A
AIRA	P/E (X)	2016	N/A
AIRA	P/E (X)	2015	N/A
AIRA	Dividend Yield (%)	09 Jun 2017	0.38
AIRA	Dividend Yield (%)	2016	0.28
AIRA	Dividend Yield (%)	2015	0.38
AIT	Market Cap (MB.)	09 Jun 2017	5,828.57
AIT	Market Cap (MB.)	2016	5,096.13
AIT	Market Cap (MB.)	2015	5,776.99
AIT	Price (B./share)	09 Jun 2017	28.25
AIT	Price (B./share)	2016	24.70
AIT	Price (B./share)	2015	28.00
AIT	P/E (X)	09 Jun 2017	12.82
AIT	P/E (X)	2016	11.71
AIT	P/E (X)	2015	11.51
AIT	Dividend Yield (%)	09 Jun 2017	7.08
AIT	Dividend Yield (%)	2016	8.30
AIT	Dividend Yield (%)	2015	7.14
AJ	Market Cap (MB.)	09 Jun 2017	5,512.26
AJ	Market Cap (MB.)	2016	4,553.61
AJ	Market Cap (MB.)	2015	2,396.64
AJ	Price (B./share)	09 Jun 2017	13.80
AJ	Price (B./share)	2016	11.40
AJ	Price (B./share)	2015	6.00
AJ	P/E (X)	09 Jun 2017	22.82
AJ	P/E (X)	2016	473.18
AJ	P/E (X)	2015	N/A
AJ	Dividend Yield (%)	09 Jun 2017	1.45
AJ	Dividend Yield (%)	2016	0.04
AJ	Dividend Yield (%)	2015	N/A
AJA	Market Cap (MB.)	09 Jun 2017	5,003.55
AJA	Market Cap (MB.)	2016	7,671.74
AJA	Market Cap (MB.)	2015	4,397.05
AJA	Price (B./share)	09 Jun 2017	1.18
AJA	Price (B./share)	2016	1.92
AJA	Price (B./share)	2015	1.17
AJA	P/E (X)	09 Jun 2017	14.08
AJA	P/E (X)	2016	26.40
AJA	P/E (X)	2015	29.20
AJA	Dividend Yield (%)	09 Jun 2017	N/A
AJA	Dividend Yield (%)	2016	N/A
AJA	Dividend Yield (%)	2015	N/A
AKP	Market Cap (MB.)	09 Jun 2017	937.28
AKP	Market Cap (MB.)	2016	961.52
AKP	Market Cap (MB.)	2015	953.44
AKP	Price (B./share)	09 Jun 2017	2.32
AKP	Price (B./share)	2016	2.38
AKP	Price (B./share)	2015	2.36
AKP	P/E (X)	09 Jun 2017	18.03
AKP	P/E (X)	2016	18.39
AKP	P/E (X)	2015	18.44
AKP	Dividend Yield (%)	09 Jun 2017	3.02
AKP	Dividend Yield (%)	2016	2.94
AKP	Dividend Yield (%)	2015	2.54
AKR	Market Cap (MB.)	09 Jun 2017	1,356.72
AKR	Market Cap (MB.)	2016	1,585.08
AKR	Market Cap (MB.)	2015	1,853.74
AKR	Price (B./share)	09 Jun 2017	1.01
AKR	Price (B./share)	2016	1.18
AKR	Price (B./share)	2015	1.38
AKR	P/E (X)	09 Jun 2017	N/A
AKR	P/E (X)	2016	33.59
AKR	P/E (X)	2015	21.52
AKR	Dividend Yield (%)	09 Jun 2017	2.48
AKR	Dividend Yield (%)	2016	4.24
AKR	Dividend Yield (%)	2015	5.07
ALLA	Market Cap (MB.)	09 Jun 2017	1,464.00
ALLA	Market Cap (MB.)	2016	1,788.00
ALLA	Price (B./share)	09 Jun 2017	2.44
ALLA	Price (B./share)	2016	2.98
ALLA	P/E (X)	09 Jun 2017	30.64
ALLA	P/E (X)	2016	31.68
ALLA	Dividend Yield (%)	09 Jun 2017	0.82
ALLA	Dividend Yield (%)	2016	N/A
ALT	Market Cap (MB.)	09 Jun 2017	7,100.00
ALT	Market Cap (MB.)	2016	8,900.00
ALT	Price (B./share)	09 Jun 2017	7.10
ALT	Price (B./share)	2016	8.90
ALT	P/E (X)	09 Jun 2017	28.94
ALT	P/E (X)	2016	35.82
ALT	Dividend Yield (%)	09 Jun 2017	1.41
ALT	Dividend Yield (%)	2016	N/A
ALUCON	Market Cap (MB.)	09 Jun 2017	12,960.00
ALUCON	Market Cap (MB.)	2016	11,232.00
ALUCON	Market Cap (MB.)	2015	8,596.80
ALUCON	Price (B./share)	09 Jun 2017	300.00
ALUCON	Price (B./share)	2016	260.00
ALUCON	Price (B./share)	2015	199.00
ALUCON	P/E (X)	09 Jun 2017	12.32
ALUCON	P/E (X)	2016	10.76
ALUCON	P/E (X)	2015	12.96
ALUCON	Dividend Yield (%)	09 Jun 2017	5.00
ALUCON	Dividend Yield (%)	2016	3.85
ALUCON	Dividend Yield (%)	2015	5.03
AMA	Market Cap (MB.)	09 Jun 2017	9,624.68
AMA	Market Cap (MB.)	2016	9,365.72
AMA	Price (B./share)	09 Jun 2017	22.30
AMA	Price (B./share)	2016	21.70
AMA	P/E (X)	09 Jun 2017	51.98
AMA	P/E (X)	2016	67.97
AMA	Dividend Yield (%)	09 Jun 2017	1.12
AMA	Dividend Yield (%)	2016	N/A
AMANAH	Market Cap (MB.)	09 Jun 2017	1,814.50
AMANAH	Market Cap (MB.)	2016	855.00
AMANAH	Market Cap (MB.)	2015	636.50
AMANAH	Price (B./share)	09 Jun 2017	1.91
AMANAH	Price (B./share)	2016	0.90
AMANAH	Price (B./share)	2015	0.67
AMANAH	P/E (X)	09 Jun 2017	39.86
AMANAH	P/E (X)	2016	63.00
AMANAH	P/E (X)	2015	N/A
AMANAH	Dividend Yield (%)	09 Jun 2017	N/A
AMANAH	Dividend Yield (%)	2016	N/A
AMANAH	Dividend Yield (%)	2015	N/A
AMARIN	Market Cap (MB.)	09 Jun 2017	2,814.00
AMARIN	Market Cap (MB.)	2016	1,551.00
AMARIN	Market Cap (MB.)	2015	1,969.00
AMARIN	Price (B./share)	09 Jun 2017	6.70
AMARIN	Price (B./share)	2016	7.05
AMARIN	Price (B./share)	2015	8.95
AMARIN	P/E (X)	09 Jun 2017	N/A
AMARIN	P/E (X)	2016	N/A
AMARIN	P/E (X)	2015	N/A
AMARIN	Dividend Yield (%)	09 Jun 2017	N/A
AMARIN	Dividend Yield (%)	2016	N/A
AMARIN	Dividend Yield (%)	2015	7.82
AMATA	Market Cap (MB.)	09 Jun 2017	18,459.10
AMATA	Market Cap (MB.)	2016	12,270.50
AMATA	Market Cap (MB.)	2015	13,124.10
AMATA	Price (B./share)	09 Jun 2017	17.30
AMATA	Price (B./share)	2016	11.50
AMATA	Price (B./share)	2015	12.30
AMATA	P/E (X)	09 Jun 2017	13.49
AMATA	P/E (X)	2016	19.24
AMATA	P/E (X)	2015	4.86
AMATA	Dividend Yield (%)	09 Jun 2017	2.60
AMATA	Dividend Yield (%)	2016	4.00
AMATA	Dividend Yield (%)	2015	5.69
AMATAR	Market Cap (MB.)	09 Jun 2017	3,722.06
AMATAR	Market Cap (MB.)	2016	4,079.95
AMATAR	Market Cap (MB.)	2015	4,151.52
AMATAR	Price (B./share)	09 Jun 2017	10.40
AMATAR	Price (B./share)	2016	11.40
AMATAR	Price (B./share)	2015	11.60
AMATAR	P/E (X)	09 Jun 2017	-
AMATAR	P/E (X)	2016	-
AMATAR	P/E (X)	2015	-
AMATAR	Dividend Yield (%)	09 Jun 2017	6.39
AMATAR	Dividend Yield (%)	2016	3.68
AMATAR	Dividend Yield (%)	2015	N/A
AMATAV	Market Cap (MB.)	09 Jun 2017	6,919.00
AMATAV	Market Cap (MB.)	2016	6,311.25
AMATAV	Market Cap (MB.)	2015	8,368.25
AMATAV	Price (B./share)	09 Jun 2017	7.40
AMATAV	Price (B./share)	2016	6.75
AMATAV	Price (B./share)	2015	8.95
AMATAV	P/E (X)	09 Jun 2017	1,216.21
AMATAV	P/E (X)	2016	48.32
AMATAV	P/E (X)	2015	50.47
AMATAV	Dividend Yield (%)	09 Jun 2017	2.70
AMATAV	Dividend Yield (%)	2016	N/A
AMATAV	Dividend Yield (%)	2015	N/A
AMC	Market Cap (MB.)	09 Jun 2017	2,035.61
AMC	Market Cap (MB.)	2016	2,246.85
AMC	Market Cap (MB.)	2015	686.54
AMC	Price (B./share)	09 Jun 2017	4.24
AMC	Price (B./share)	2016	4.68
AMC	Price (B./share)	2015	1.43
AMC	P/E (X)	09 Jun 2017	5.27
AMC	P/E (X)	2016	8.44
AMC	P/E (X)	2015	N/A
AMC	Dividend Yield (%)	09 Jun 2017	4.72
AMC	Dividend Yield (%)	2016	N/A
AMC	Dividend Yield (%)	2015	N/A
ANAN	Market Cap (MB.)	09 Jun 2017	17,998.20
ANAN	Market Cap (MB.)	2016	16,465.02
ANAN	Market Cap (MB.)	2015	13,931.94
ANAN	Price (B./share)	09 Jun 2017	5.40
ANAN	Price (B./share)	2016	4.94
ANAN	Price (B./share)	2015	4.18
ANAN	P/E (X)	09 Jun 2017	12.05
ANAN	P/E (X)	2016	10.92
ANAN	P/E (X)	2015	14.62
ANAN	Dividend Yield (%)	09 Jun 2017	2.31
ANAN	Dividend Yield (%)	2016	2.02
ANAN	Dividend Yield (%)	2015	2.34
AOT	Market Cap (MB.)	09 Jun 2017	635,713.65
AOT	Market Cap (MB.)	2016	568,570.86
AOT	Market Cap (MB.)	2015	494,285.22
AOT	Price (B./share)	09 Jun 2017	44.50
AOT	Price (B./share)	2016	39.80
AOT	Price (B./share)	2015	34.60
AOT	P/E (X)	09 Jun 2017	30.45
AOT	P/E (X)	2016	29.05
AOT	P/E (X)	2015	26.39
AOT	Dividend Yield (%)	09 Jun 2017	1.53
AOT	Dividend Yield (%)	2016	1.72
AOT	Dividend Yield (%)	2015	1.89
AP	Market Cap (MB.)	09 Jun 2017	25,324.49
AP	Market Cap (MB.)	2016	23,594.25
AP	Market Cap (MB.)	2015	16,830.56
AP	Price (B./share)	09 Jun 2017	8.05
AP	Price (B./share)	2016	7.50
AP	Price (B./share)	2015	5.35
AP	P/E (X)	09 Jun 2017	9.06
AP	P/E (X)	2016	11.16
AP	P/E (X)	2015	6.59
AP	Dividend Yield (%)	09 Jun 2017	3.73
AP	Dividend Yield (%)	2016	4.00
AP	Dividend Yield (%)	2015	5.20
APCO	Market Cap (MB.)	09 Jun 2017	4,110.00
APCO	Market Cap (MB.)	2016	4,890.00
APCO	Market Cap (MB.)	2015	4,420.05
APCO	Price (B./share)	09 Jun 2017	1.37
APCO	Price (B./share)	2016	1.63
APCO	Price (B./share)	2015	1.49
APCO	P/E (X)	09 Jun 2017	31.45
APCO	P/E (X)	2016	39.56
APCO	P/E (X)	2015	54.56
APCO	Dividend Yield (%)	09 Jun 2017	3.14
APCO	Dividend Yield (%)	2016	1.95
APCO	Dividend Yield (%)	2015	2.62
APCS	Market Cap (MB.)	09 Jun 2017	5,280.00
APCS	Market Cap (MB.)	2016	3,663.00
APCS	Market Cap (MB.)	2015	3,729.00
APCS	Price (B./share)	09 Jun 2017	8.00
APCS	Price (B./share)	2016	5.55
APCS	Price (B./share)	2015	5.65
APCS	P/E (X)	09 Jun 2017	55.03
APCS	P/E (X)	2016	N/A
APCS	P/E (X)	2015	N/A
APCS	Dividend Yield (%)	09 Jun 2017	N/A
APCS	Dividend Yield (%)	2016	N/A
APCS	Dividend Yield (%)	2015	N/A
